# timestamp error(m)
56.153000000 0.339549123
56.153000000 0.341005151
56.206000000 0.340555615
56.457000000 0.343318963
56.703000000 0.345044702
56.905000000 0.346299236
57.146000000 0.347278003
57.405000000 0.348068217
57.602000000 0.348714776
57.855000000 0.349245036
58.103000000 0.349678746
58.351000000 0.350031823
58.601000000 0.350317711
58.800000000 0.350547879
59.043000000 0.350732066
59.295000000 0.350878460
59.502000000 0.350993880
59.748000000 0.351083963
59.994000000 0.351153335
60.250000000 0.351205779
60.505000000 0.351244379
60.746000000 0.351271644
61.005000000 0.351289616
61.205000000 0.351299954
61.446000000 0.351304012
61.700000000 0.351302896
61.948000000 0.351297508
62.197000000 0.351288594
62.397000000 0.351276763
62.648000000 0.351262524
62.904000000 0.351246296
63.103000000 0.351228433
63.349000000 0.351209230
63.600000000 0.351188936
63.804000000 0.351167763
63.995000000 0.352339911
64.247000000 0.364441379
64.502000000 0.385576778
64.704000000 0.398168926
64.898000000 0.402599699
65.145000000 0.410241930
65.355000000 0.411080625
65.599000000 0.420746592
65.797000000 0.433931618
66.056000000 0.459496279
66.295000000 0.484470572
66.496000000 0.509093063
66.755000000 0.544540806
67.003000000 0.549019836
67.200000000 0.538415310
67.454000000 0.548015872
67.695000000 0.598434776
67.900000000 0.627295507
68.155000000 0.586379462
68.400000000 0.570060976
68.646000000 0.594309303
68.896000000 0.584566946
69.105000000 0.587563387
69.355000000 0.589491877
69.601000000 0.613137867
69.796000000 0.611459896
70.044000000 0.606558744
70.301000000 0.601749487
70.502000000 0.635585454
70.752000000 0.604880432
70.999000000 0.633190440
71.247000000 0.644438653
71.503000000 0.691980948
71.701000000 0.743485505
71.995000000 0.739382874
72.203000000 0.761372302
72.497000000 0.805831351
72.695000000 0.849870192
72.945000000 0.894936471
73.205000000 0.848001751
73.395000000 0.859642673
73.650000000 0.918008101
73.899000000 0.865907265
74.099000000 0.842171006
74.350000000 0.827261129
74.600000000 0.895280878
74.799000000 0.941387972
75.045000000 0.919889594
75.304000000 0.900067249
75.501000000 0.891088971
75.748000000 0.893191234
75.995000000 0.922662370
76.202000000 0.940920585
76.446000000 0.896608107
76.701000000 0.894926337
76.949000000 0.917507851
77.203000000 0.911399252
77.396000000 0.878662079
77.653000000 0.921871090
77.901000000 0.947405678
78.104000000 0.928976796
78.352000000 0.903051941
78.604000000 0.909264309
78.793000000 0.939161747
79.000000000 0.933006898
79.249000000 0.949539091
79.504000000 0.993644371
79.705000000 0.941661702
79.944000000 0.998207692
80.200000000 1.021495768
80.398000000 1.019096955
80.651000000 1.070910834
80.900000000 1.088250413
81.095000000 1.119724243
81.351000000 1.154225551
81.599000000 1.200233537
81.803000000 1.192710701
82.054000000 1.222885249
82.244000000 1.211650955
82.496000000 1.268367278
82.743000000 1.308926056
83.003000000 1.338482864
83.198000000 1.354250392
83.444000000 1.301235134
83.700000000 1.294615228
83.900000000 1.240303904
84.151000000 1.168618699
84.404000000 1.094988019
84.604000000 1.024763097
84.846000000 0.976821457
85.101000000 0.926875666
85.295000000 0.858978614
85.502000000 0.847504633
85.801000000 0.838471790
86.003000000 0.706456194
86.255000000 0.673878801
86.493000000 0.670581633
86.748000000 0.575064453
87.001000000 0.573169279
87.248000000 0.572485612
87.458000000 0.567744282
87.495000000 0.564267385
87.543000000 0.561633887
87.597000000 0.558683539
87.645000000 0.555636785
87.700000000 0.552947076
87.756000000 0.550283424
87.800000000 0.546414063
87.843000000 0.543190568
87.894000000 0.540762091
87.894000000 0.539677212
87.894000000 0.538795948
87.894000000 0.537530573
